,id,date,city,pop,shop,brand,container,capacity,price,quantity,Comp
940,940,30/11/12,Manipur,346502,Dealer_4,Apple,plastic,600ml,35,11537,1.38
941,941,30/11/12,Manipur,346502,Dealer_4,Zeera cola,can,300ml,20,13421,0.9
942,942,30/11/12,Manipur,346502,Dealer_4,Mango,Tetra pak,200ml,10,25068,1.09
943,943,30/11/12,Manipur,346502,Dealer_4,Club soda,plastic,600ml,20,14280,2.43
945,945,30/11/12,Manipur,346502,Dealer_4,Litchi,plastic,250ml,15,43422,0.64
946,946,30/11/12,Manipur,346502,Dealer_4,Litchi,can,200ml,10,62668,0.24
948,948,30/11/12,Manipur,346502,Dealer_4,Mango,plastic,1.2lt,65,31812,0.89
949,949,30/11/12,Manipur,346502,Dealer_4,Mango,plastic,250ml,15,59197,0.27
951,951,30/11/12,Manipur,346502,Dealer_4,Lemon,plastic,250ml,10,20137,0.59
952,952,30/11/12,Assam,672130,Dealer_3,Apple,plastic,600ml,35,7396,1.38
954,954,30/11/12,Assam,672130,Dealer_3,Zeera cola,can,300ml,20,7746,0.9
955,955,30/11/12,Assam,672130,Dealer_3,Mango,Tetra pak,200ml,10,11517,1.27
956,956,30/11/12,Assam,672130,Dealer_3,Club soda,plastic,600ml,20,10730,2.7
958,958,30/11/12,Assam,672130,Dealer_3,Litchi,plastic,250ml,15,17855,0.85
959,959,30/11/12,Assam,672130,Dealer_3,Apple,plastic,250ml,20,11883,1.95
960,960,30/11/12,Assam,672130,Dealer_3,Litchi,can,200ml,10,30196,0.38
962,962,30/11/12,Assam,672130,Dealer_3,Mango,plastic,1.2lt,65,25180,0.86
963,963,30/11/12,Assam,672130,Dealer_3,Mango,plastic,250ml,15,26078,0.35
965,965,30/11/12,Assam,672130,Dealer_3,Lemon,plastic,250ml,10,34132,0.15
966,966,30/11/12,Meghalaya,137540,Dealer_5,Apple,plastic,600ml,35,11970,1.22
967,967,30/11/12,Meghalaya,137540,Dealer_5,Zeera cola,can,300ml,20,12070,0.65
968,968,30/11/12,Meghalaya,137540,Dealer_5,Mango,Tetra pak,200ml,10,13905,1.3
969,969,30/11/12,Meghalaya,137540,Dealer_5,Club soda,plastic,600ml,20,18894,1.96
971,971,30/11/12,Meghalaya,137540,Dealer_5,Litchi,can,200ml,10,15193,0.58
972,972,30/11/12,Meghalaya,137540,Dealer_5,Mango,plastic,600ml,35,52602,0.39
974,974,30/11/12,Meghalaya,137540,Dealer_5,Lemon,plastic,600ml,20,12544,0.95
978,978,30/11/12,Manipur,346502,Dealer_4,Lemon,plastic,600ml,20,17147,1.08
979,979,30/11/12,Meghalaya,137540,Dealer_5,Litchi,plastic,250ml,15,32423,0.63
981,981,30/11/12,Meghalaya,137540,Dealer_5,Mango,plastic,250ml,15,59991,0.21
983,983,30/11/12,Manipur,346502,Dealer_4,Apple,plastic,250ml,20,27306,1.19
986,986,30/11/12,Meghalaya,137540,Dealer_5,Zeera cola,plastic,200ml,12,10053,2.47
987,987,30/11/12,Assam,672130,Dealer_3,Lemon,plastic,600ml,20,11721,0.91
988,988,30/11/12,Meghalaya,137540,Dealer_5,Apple,plastic,250ml,20,22469,1.15
989,989,30/11/12,Assam,672130,Dealer_1,Lemon,plastic,250ml,10,25095,0.43
990,990,31/12/12,Assam,672130,Dealer_1,Apple,plastic,600ml,35,9223,1.56
991,991,31/12/12,Assam,672130,Dealer_1,Zeera cola,plastic,200ml,12,6914,3.85
992,992,31/12/12,Assam,672130,Dealer_1,Mango,Tetra pak,200ml,10,22107,1.03
994,994,31/12/12,Assam,672130,Dealer_1,Litchi,plastic,250ml,15,26348,0.85
995,995,31/12/12,Assam,672130,Dealer_1,Apple,plastic,250ml,20,21664,1.53
996,996,31/12/12,Assam,672130,Dealer_1,Litchi,can,200ml,10,32152,0.47
997,997,31/12/12,Assam,672130,Dealer_1,Mango,plastic,600ml,35,27331,0.63
998,998,31/12/12,Assam,672130,Dealer_1,Mango,plastic,1.2lt,65,35371,0.79
1000,1000,31/12/12,Assam,672130,Dealer_1,Lemon,plastic,600ml,20,13161,1
1002,1002,31/12/12,Assam,672130,Dealer_1,Lemon,plastic,250ml,10,10409,0.74
1003,1003,31/12/12,Arunanchal,134219,Dealer_2,Apple,plastic,600ml,35,20746,1.05
1005,1005,31/12/12,Arunanchal,134219,Dealer_2,Zeera cola,can,300ml,20,29338,0.55
1006,1006,31/12/12,Arunanchal,134219,Dealer_2,Mango,Tetra pak,200ml,10,31221,0.93
1007,1007,31/12/12,Arunanchal,134219,Dealer_2,Club soda,plastic,600ml,20,20557.9,2.65
1009,1009,31/12/12,Arunanchal,134219,Dealer_2,Apple,plastic,250ml,20,30256,1.55
1010,1010,31/12/12,Arunanchal,134219,Dealer_2,Litchi,can,200ml,10,56182,0.36
1011,1011,31/12/12,Arunanchal,134219,Dealer_2,Mango,plastic,600ml,35,60011,0.52
1013,1013,31/12/12,Arunanchal,134219,Dealer_2,Mango,plastic,250ml,15,61168,0.31
1015,1015,31/12/12,Arunanchal,134219,Dealer_2,Lemon,plastic,250ml,10,27776,0.59
1016,1016,31/12/12,Nagaland,164250,Dealer_6,Apple,plastic,600ml,35,24272,1.23
1017,1017,31/12/12,Nagaland,164250,Dealer_6,Zeera cola,plastic,200ml,12,11714,3.68
1018,1018,31/12/12,Nagaland,164250,Dealer_6,Zeera cola,can,300ml,20,30662,0.61
1019,1019,31/12/12,Nagaland,164250,Dealer_6,Mango,Tetra pak,200ml,10,24156,1.35
1020,1020,31/12/12,Nagaland,164250,Dealer_6,Club soda,plastic,600ml,20,27105,2.42
1022,1022,31/12/12,Nagaland,164250,Dealer_6,Apple,plastic,250ml,20,50581,1.09
1023,1023,31/12/12,Nagaland,164250,Dealer_6,Mango,plastic,1.2lt,65,59301,0.7
1026,1026,31/12/12,Nagaland,164250,Dealer_6,Lemon,plastic,250ml,10,41493,0.53
1027,1027,31/12/12,Manipur,346502,Dealer_4,Zeera cola,plastic,200ml,12,12669,3.09
1028,1028,31/12/12,Manipur,346502,Dealer_4,Zeera cola,can,300ml,20,21564,0.79
1029,1029,31/12/12,Manipur,346502,Dealer_4,Club soda,plastic,600ml,20,11574,3.1
1031,1031,31/12/12,Manipur,346502,Dealer_4,Litchi,plastic,250ml,15,26638,0.95
1033,1033,31/12/12,Manipur,346502,Dealer_4,Litchi,can,200ml,10,53822,0.44
1034,1034,31/12/12,Manipur,346502,Dealer_4,Mango,plastic,600ml,35,50951,0.59
1035,1035,31/12/12,Manipur,346502,Dealer_4,Mango,plastic,1.2lt,65,43113,0.79
1037,1037,31/12/12,Manipur,346502,Dealer_4,Lemon,plastic,600ml,20,25633,0.91
1039,1039,31/12/12,Manipur,346502,Dealer_4,Lemon,plastic,250ml,10,30137,0.58
1040,1040,31/12/12,Assam,672130,Dealer_3,Apple,plastic,600ml,35,9070,1.19
1041,1041,31/12/12,Assam,672130,Dealer_3,Zeera cola,plastic,200ml,12,8705,2.39
1044,1044,31/12/12,Assam,672130,Dealer_3,Apple,plastic,250ml,20,21555,1.68
1045,1045,31/12/12,Assam,672130,Dealer_3,Litchi,can,200ml,10,46779,0.25
1046,1046,31/12/12,Assam,672130,Dealer_3,Mango,plastic,600ml,35,29906,0.54
1047,1047,31/12/12,Assam,672130,Dealer_3,Mango,plastic,1.2lt,65,26032,0.72
1048,1048,31/12/12,Assam,672130,Dealer_3,Mango,plastic,250ml,15,32935,0.32
1052,1052,31/12/12,Meghalaya,137540,Dealer_5,Zeera cola,plastic,200ml,12,9485,3.13
1054,1054,31/12/12,Meghalaya,137540,Dealer_5,Club soda,plastic,600ml,20,17890,1.9
1056,1056,31/12/12,Meghalaya,137540,Dealer_5,Litchi,plastic,250ml,15,28010,0.89
1057,1057,31/12/12,Meghalaya,137540,Dealer_5,Apple,plastic,250ml,20,19296,1.49
1058,1058,31/12/12,Meghalaya,137540,Dealer_5,Litchi,can,200ml,10,23250,0.6
1059,1059,31/12/12,Meghalaya,137540,Dealer_5,Mango,plastic,600ml,35,58837,0.49
1060,1060,31/12/12,Meghalaya,137540,Dealer_5,Mango,plastic,250ml,15,46834,0.25
1061,1061,31/12/12,Meghalaya,137540,Dealer_5,Lemon,plastic,600ml,20,21501,0.79
1064,1064,31/12/12,Assam,672130,Dealer_3,Zeera cola,can,300ml,20,7603,0.94
1065,1065,31/12/12,Manipur,346502,Dealer_4,Apple,plastic,600ml,35,17085,1.24
1066,1066,31/12/12,Nagaland,164250,Dealer_6,Litchi,can,200ml,10,58362,0.45
1067,1067,31/12/12,Nagaland,164250,Dealer_6,Mango,plastic,600ml,35,55913,0.58
1068,1068,31/12/12,Assam,672130,Dealer_1,Zeera cola,can,300ml,20,11981,0.91
1070,1070,31/12/12,Assam,672130,Dealer_1,Club soda,plastic,600ml,20,12347,2.88
1072,1072,31/12/12,Meghalaya,137540,Dealer_5,Zeera cola,can,300ml,20,14501,0.83
1073,1073,31/12/12,Assam,672130,Dealer_3,Lemon,plastic,250ml,10,14992,0.55
1074,1074,31/12/12,Assam,672130,Dealer_3,Litchi,plastic,250ml,15,24244,0.83
1075,1075,31/12/12,Nagaland,164250,Dealer_6,Litchi,plastic,250ml,15,51717,0.72
1076,1076,31/12/12,Nagaland,164250,Dealer_6,Lemon,plastic,600ml,20,24650,0.99
1077,1077,31/12/12,Arunanchal,134219,Dealer_2,Litchi,plastic,250ml,15,40032,0.72
1078,1078,31/12/12,Assam,672130,Dealer_3,Club soda,plastic,600ml,20,10283,2.63
1079,1079,31/12/12,Manipur,346502,Dealer_4,Mango,Tetra pak,200ml,10,21803,1.26
1080,1080,31/01/13,Assam,671022,Dealer_1,Apple,plastic,600ml,35,9374,1.32
1081,1081,31/01/13,Assam,671022,Dealer_1,Zeera cola,plastic,200ml,12,7861,2.47
1082,1082,31/01/13,Assam,671022,Dealer_1,Zeera cola,can,300ml,20,14972,0.66
1083,1083,31/01/13,Assam,671022,Dealer_1,Mango,Tetra pak,200ml,10,14847,1.23
1084,1084,31/01/13,Assam,671022,Dealer_1,Club soda,plastic,600ml,20,11531,2.73
1086,1086,31/01/13,Assam,671022,Dealer_1,Litchi,plastic,250ml,15,27025,0.79
1087,1087,31/01/13,Assam,671022,Dealer_1,Apple,plastic,250ml,20,16027,1.47
1088,1088,31/01/13,Assam,671022,Dealer_1,Litchi,can,200ml,10,39338,0.39
1089,1089,31/01/13,Assam,671022,Dealer_1,Mango,plastic,600ml,35,26337,0.68
1090,1090,31/01/13,Assam,671022,Dealer_1,Mango,plastic,1.2lt,65,25126,0.94
1091,1091,31/01/13,Assam,671022,Dealer_1,Mango,plastic,250ml,15,24232,0.36
1092,1092,31/01/13,Assam,671022,Dealer_1,Lemon,plastic,600ml,20,12802,0.97
1094,1094,31/01/13,Assam,671022,Dealer_1,Lemon,plastic,250ml,10,20164,0.52
1095,1095,31/01/13,Arunanchal,135432,Dealer_2,Apple,plastic,600ml,35,12802,1.28
1096,1096,31/01/13,Arunanchal,135432,Dealer_2,Zeera cola,plastic,200ml,12,6082,4.02
1097,1097,31/01/13,Arunanchal,135432,Dealer_2,Zeera cola,can,300ml,20,10696,0.95
1098,1098,31/01/13,Arunanchal,135432,Dealer_2,Mango,Tetra pak,200ml,10,16758,1.19
1099,1099,31/01/13,Arunanchal,135432,Dealer_2,Club soda,plastic,600ml,20,11398.2,3.31
1101,1101,31/01/13,Arunanchal,135432,Dealer_2,Litchi,plastic,250ml,15,27176,0.8
1102,1102,31/01/13,Arunanchal,135432,Dealer_2,Litchi,can,200ml,10,38486,0.4
1103,1103,31/01/13,Arunanchal,135432,Dealer_2,Mango,plastic,600ml,35,36510,0.63
1104,1104,31/01/13,Arunanchal,135432,Dealer_2,Mango,plastic,1.2lt,65,28929,1.07
1105,1105,31/01/13,Arunanchal,135432,Dealer_2,Mango,plastic,250ml,15,34739,0.34
1106,1106,31/01/13,Arunanchal,135432,Dealer_2,Lemon,plastic,600ml,20,20029,0.86
1108,1108,31/01/13,Arunanchal,135432,Dealer_2,Lemon,plastic,250ml,10,21923,0.55
1109,1109,31/01/13,Nagaland,166301,Dealer_6,Apple,plastic,600ml,35,15080,1.27
1110,1110,31/01/13,Nagaland,166301,Dealer_6,Zeera cola,plastic,200ml,12,13693,2.84
1111,1111,31/01/13,Nagaland,166301,Dealer_6,Zeera cola,can,300ml,20,27660,0.56
1112,1112,31/01/13,Nagaland,166301,Dealer_6,Mango,Tetra pak,200ml,10,27155,0.96
1113,1113,31/01/13,Nagaland,166301,Dealer_6,Club soda,plastic,600ml,20,12030,3.2
1115,1115,31/01/13,Nagaland,166301,Dealer_6,Apple,plastic,250ml,20,44073,1.03
1116,1116,31/01/13,Nagaland,166301,Dealer_6,Mango,plastic,1.2lt,65,43812,0.84
1117,1117,31/01/13,Nagaland,166301,Dealer_6,Mango,plastic,250ml,15,46351,0.34
1118,1118,31/01/13,Nagaland,166301,Dealer_6,Lemon,plastic,600ml,20,16827,1.12
1119,1119,31/01/13,Manipur,347001,Dealer_4,Apple,plastic,600ml,35,13384,1.3
1120,1120,31/01/13,Manipur,347001,Dealer_4,Zeera cola,plastic,200ml,12,15304,1.88
1121,1121,31/01/13,Manipur,347001,Dealer_4,Zeera cola,can,300ml,20,12877,0.91
1122,1122,31/01/13,Manipur,347001,Dealer_4,Mango,Tetra pak,200ml,10,14756,1.29
1123,1123,31/01/13,Manipur,347001,Dealer_4,Club soda,plastic,600ml,20,16914,2.51
1125,1125,31/01/13,Manipur,347001,Dealer_4,Litchi,plastic,250ml,15,35077,0.81
1126,1126,31/01/13,Manipur,347001,Dealer_4,Apple,plastic,250ml,20,27061,1.12
1127,1127,31/01/13,Manipur,347001,Dealer_4,Litchi,can,200ml,10,42673,0.4
1128,1128,31/01/13,Manipur,347001,Dealer_4,Mango,plastic,1.2lt,65,40186,0.8
1129,1129,31/01/13,Manipur,347001,Dealer_4,Lemon,plastic,600ml,20,16718,1.12
1131,1131,31/01/13,Manipur,347001,Dealer_4,Lemon,plastic,250ml,10,33278,0.37
1132,1132,31/01/13,Assam,671022,Dealer_3,Apple,plastic,600ml,35,8360,1.26
1133,1133,31/01/13,Assam,671022,Dealer_3,Zeera cola,plastic,200ml,12,9271,1.77
1134,1134,31/01/13,Assam,671022,Dealer_3,Zeera cola,can,300ml,20,6574,0.87
1135,1135,31/01/13,Assam,671022,Dealer_3,Mango,Tetra pak,200ml,10,9922,1.29
1136,1136,31/01/13,Assam,671022,Dealer_3,Club soda,plastic,600ml,20,7273,3.06
1138,1138,31/01/13,Assam,671022,Dealer_3,Litchi,plastic,250ml,15,11702,1
1139,1139,31/01/13,Assam,671022,Dealer_3,Litchi,can,200ml,10,20610,0.47
1140,1140,31/01/13,Assam,671022,Dealer_3,Mango,plastic,600ml,35,15913,0.69
1141,1141,31/01/13,Assam,671022,Dealer_3,Mango,plastic,1.2lt,65,22308,0.77
1142,1142,31/01/13,Assam,671022,Dealer_3,Mango,plastic,250ml,15,14101,0.39
1143,1143,31/01/13,Assam,671022,Dealer_3,Lemon,plastic,600ml,20,12024,0.99
1145,1145,31/01/13,Assam,671022,Dealer_3,Lemon,plastic,250ml,10,12685,0.59
1146,1146,31/01/13,Meghalaya,139242,Dealer_5,Apple,plastic,600ml,35,11645,1.01
1147,1147,31/01/13,Meghalaya,139242,Dealer_5,Zeera cola,plastic,200ml,12,6192,2.68
1148,1148,31/01/13,Meghalaya,139242,Dealer_5,Zeera cola,can,300ml,20,8051,0.98
1149,1149,31/01/13,Meghalaya,139242,Dealer_5,Mango,Tetra pak,200ml,10,11937,1.23
1150,1150,31/01/13,Meghalaya,139242,Dealer_5,Apple,plastic,250ml,20,17597,1.47
1151,1151,31/01/13,Meghalaya,139242,Dealer_5,Mango,plastic,1.2lt,65,18507,1.19
1152,1152,31/01/13,Meghalaya,139242,Dealer_5,Mango,plastic,250ml,15,23237,0.39
1153,1153,31/01/13,Meghalaya,139242,Dealer_5,Lemon,plastic,600ml,20,18004,0.76
1155,1155,31/01/13,Meghalaya,139242,Dealer_5,Lemon,plastic,250ml,10,13509,0.62
1156,1156,31/01/13,Nagaland,166301,Dealer_6,Mango,plastic,600ml,35,64460,0.53
1159,1159,31/01/13,Nagaland,166301,Dealer_6,Litchi,can,200ml,10,47618,0.47
1160,1160,31/01/13,Nagaland,166301,Dealer_6,Litchi,plastic,250ml,15,36470,0.67
1161,1161,31/01/13,Meghalaya,139242,Dealer_5,Mango,plastic,600ml,35,45807,0.4
1162,1162,31/01/13,Meghalaya,139242,Dealer_5,Litchi,can,200ml,10,27216,0.49
1163,1163,31/01/13,Manipur,347001,Dealer_4,Mango,plastic,600ml,35,33261,0.63
1164,1164,31/01/13,Assam,671022,Dealer_3,Apple,plastic,250ml,20,15938,1.2
1165,1165,31/01/13,Meghalaya,139242,Dealer_5,Litchi,plastic,250ml,15,10028,1.06
1166,1166,31/01/13,Arunanchal,135432,Dealer_2,Apple,plastic,250ml,20,21205,1.61
1167,1167,31/01/13,Manipur,347001,Dealer_4,Mango,plastic,250ml,15,53951,0.27
1168,1168,31/01/13,Nagaland,166301,Dealer_6,Lemon,plastic,250ml,10,22343,0.62
1169,1169,31/01/13,Meghalaya,139242,Dealer_5,Club soda,plastic,600ml,20,7274,3.26
1170,1170,28/02/13,Assam,671022,Dealer_1,Apple,plastic,600ml,35,11893,0.86
1171,1171,28/02/13,Assam,671022,Dealer_1,Zeera cola,can,300ml,20,7149,0.92
1172,1172,28/02/13,Assam,671022,Dealer_1,Mango,Tetra pak,200ml,10,9503,1.26
1174,1174,28/02/13,Assam,671022,Dealer_1,Litchi,plastic,250ml,15,25729,0.64
1176,1176,28/02/13,Assam,671022,Dealer_1,Mango,plastic,600ml,35,18299,0.64
1177,1177,28/02/13,Assam,671022,Dealer_1,Mango,plastic,1.2lt,65,15484,0.84
1178,1178,28/02/13,Assam,671022,Dealer_1,Mango,plastic,250ml,15,47582,0.19
1179,1179,28/02/13,Assam,671022,Dealer_1,Lemon,plastic,600ml,20,8249,1.15
1181,1181,28/02/13,Arunanchal,135432,Dealer_2,Apple,plastic,600ml,35,9520,1.36
1182,1182,28/02/13,Arunanchal,135432,Dealer_2,Zeera cola,plastic,200ml,12,8891,2.61
1183,1183,28/02/13,Arunanchal,135432,Dealer_2,Zeera cola,can,300ml,20,8479,0.83
1184,1184,28/02/13,Arunanchal,135432,Dealer_2,Mango,Tetra pak,200ml,10,13062,1.15
1185,1185,28/02/13,Arunanchal,135432,Dealer_2,Club soda,plastic,600ml,20,8774.7,2.73
1186,1186,28/02/13,Arunanchal,135432,Dealer_2,Litchi,plastic,250ml,15,8596,1.04
1187,1187,28/02/13,Arunanchal,135432,Dealer_2,Apple,plastic,250ml,20,16893,1.69
1188,1188,28/02/13,Arunanchal,135432,Dealer_2,Litchi,can,200ml,10,44990,0.33
1189,1189,28/02/13,Arunanchal,135432,Dealer_2,Mango,plastic,600ml,35,18326,0.71
1190,1190,28/02/13,Arunanchal,135432,Dealer_2,Mango,plastic,250ml,15,40706,0.27
1191,1191,28/02/13,Arunanchal,135432,Dealer_2,Lemon,plastic,600ml,20,12200,1.01
1192,1192,28/02/13,Arunanchal,135432,Dealer_2,Lemon,plastic,250ml,10,17558,0.57
1193,1193,28/02/13,Nagaland,166301,Dealer_6,Apple,plastic,600ml,35,7176,1.74
1194,1194,28/02/13,Nagaland,166301,Dealer_6,Zeera cola,plastic,200ml,12,9014,3.33
1195,1195,28/02/13,Nagaland,166301,Dealer_6,Zeera cola,can,300ml,20,16149,0.65
1196,1196,28/02/13,Nagaland,166301,Dealer_6,Mango,Tetra pak,200ml,10,14484,1.31
1197,1197,28/02/13,Nagaland,166301,Dealer_6,Club soda,plastic,600ml,20,10108,3.17
1199,1199,28/02/13,Nagaland,166301,Dealer_6,Apple,plastic,250ml,20,17286,2.13
1200,1200,28/02/13,Nagaland,166301,Dealer_6,Litchi,can,200ml,10,35761,0.46
1201,1201,28/02/13,Nagaland,166301,Dealer_6,Mango,plastic,250ml,15,58463,0.29
1202,1202,28/02/13,Nagaland,166301,Dealer_6,Lemon,plastic,600ml,20,19153,1
1204,1204,28/02/13,Nagaland,166301,Dealer_6,Lemon,plastic,250ml,10,15906,0.65
1205,1205,28/02/13,Manipur,347001,Dealer_4,Apple,plastic,600ml,35,10802,1.24
1206,1206,28/02/13,Manipur,347001,Dealer_4,Zeera cola,plastic,200ml,12,8769,2.78
1207,1207,28/02/13,Manipur,347001,Dealer_4,Zeera cola,can,300ml,20,15752,0.58
1208,1208,28/02/13,Manipur,347001,Dealer_4,Mango,Tetra pak,200ml,10,11651,1.23
1209,1209,28/02/13,Manipur,347001,Dealer_4,Club soda,plastic,600ml,20,12819,2.64
1211,1211,28/02/13,Manipur,347001,Dealer_4,Litchi,plastic,250ml,15,23338,0.87
1212,1212,28/02/13,Manipur,347001,Dealer_4,Litchi,can,200ml,10,36455,0.36
1213,1213,28/02/13,Manipur,347001,Dealer_4,Mango,plastic,600ml,35,23519,0.66
1214,1214,28/02/13,Manipur,347001,Dealer_4,Mango,plastic,1.2lt,65,26065,0.89
1215,1215,28/02/13,Manipur,347001,Dealer_4,Lemon,plastic,600ml,20,14368,1.08
1217,1217,28/02/13,Manipur,347001,Dealer_4,Lemon,plastic,250ml,10,19597,0.55
1218,1218,28/02/13,Assam,671022,Dealer_3,Apple,plastic,600ml,35,8571,1.1
1219,1219,28/02/13,Assam,671022,Dealer_3,Zeera cola,plastic,200ml,12,3396,3.54
1220,1220,28/02/13,Assam,671022,Dealer_3,Zeera cola,can,300ml,20,8454,0.74
1221,1221,28/02/13,Assam,671022,Dealer_3,Mango,Tetra pak,200ml,10,6389,1.35
1222,1222,28/02/13,Assam,671022,Dealer_3,Club soda,plastic,600ml,20,10709,2.46
1224,1224,28/02/13,Assam,671022,Dealer_3,Apple,plastic,250ml,20,10245,1.81
1225,1225,28/02/13,Assam,671022,Dealer_3,Litchi,can,200ml,10,16297,0.49
1226,1226,28/02/13,Assam,671022,Dealer_3,Mango,plastic,600ml,35,23685,0.51
1227,1227,28/02/13,Assam,671022,Dealer_3,Mango,plastic,250ml,15,18615,0.36
1228,1228,28/02/13,Assam,671022,Dealer_3,Lemon,plastic,600ml,20,10239,0.8
1230,1230,28/02/13,Assam,671022,Dealer_3,Lemon,plastic,250ml,10,17008,0.35
1231,1231,28/02/13,Meghalaya,139242,Dealer_5,Apple,plastic,600ml,35,8968,1.3
1232,1232,28/02/13,Meghalaya,139242,Dealer_5,Zeera cola,plastic,200ml,12,5979,3.35
1233,1233,28/02/13,Meghalaya,139242,Dealer_5,Zeera cola,can,300ml,20,6966,0.79
1234,1234,28/02/13,Meghalaya,139242,Dealer_5,Mango,Tetra pak,200ml,10,9873,1.3
1236,1236,28/02/13,Meghalaya,139242,Dealer_5,Litchi,plastic,250ml,15,17496,0.76
1237,1237,28/02/13,Meghalaya,139242,Dealer_5,Apple,plastic,250ml,20,8103,2.07
1238,1238,28/02/13,Meghalaya,139242,Dealer_5,Litchi,can,200ml,10,27414,0.36
1239,1239,28/02/13,Meghalaya,139242,Dealer_5,Mango,plastic,600ml,35,17866,0.64
1240,1240,28/02/13,Meghalaya,139242,Dealer_5,Mango,plastic,1.2lt,65,11447,1.19
1241,1241,28/02/13,Meghalaya,139242,Dealer_5,Lemon,plastic,600ml,20,6672,1.14
1243,1243,28/02/13,Meghalaya,139242,Dealer_5,Lemon,plastic,250ml,10,11749,0.55
1245,1245,28/02/13,Meghalaya,139242,Dealer_5,Club soda,plastic,600ml,20,12660,2.08
1246,1246,28/02/13,Assam,671022,Dealer_3,Litchi,plastic,250ml,15,18442,0.74
1247,1247,28/02/13,Nagaland,166301,Dealer_6,Litchi,plastic,250ml,15,39159,0.73
1248,1248,28/02/13,Arunanchal,135432,Dealer_2,Mango,plastic,1.2lt,65,27469,0.91
1249,1249,28/02/13,Assam,671022,Dealer_1,Apple,plastic,250ml,20,17040,1.39
1250,1250,28/02/13,Assam,671022,Dealer_1,Zeera cola,plastic,200ml,12,7921,2.66
1251,1251,28/02/13,Nagaland,166301,Dealer_6,Mango,plastic,600ml,35,76120,0.41
1253,1253,28/02/13,Assam,671022,Dealer_3,Mango,plastic,1.2lt,65,9029,1.37
1254,1254,28/02/13,Manipur,347001,Dealer_4,Apple,plastic,250ml,20,19342,1.74
1255,1255,28/02/13,Nagaland,166301,Dealer_6,Mango,plastic,1.2lt,65,30639,0.88
1256,1256,28/02/13,Assam,671022,Dealer_1,Club soda,plastic,600ml,20,12703,1.91
1257,1257,28/02/13,Meghalaya,139242,Dealer_5,Mango,plastic,250ml,15,32930,0.27
1258,1258,28/02/13,Assam,671022,Dealer_1,Lemon,plastic,250ml,10,22493,0.45
1259,1259,28/02/13,Manipur,347001,Dealer_4,Mango,plastic,250ml,15,33283,0.34
1260,1260,31/03/13,Assam,671022,Dealer_1,Apple,plastic,600ml,35,17406,1.03
1261,1261,31/03/13,Assam,671022,Dealer_1,Zeera cola,plastic,200ml,12,13149,2.4
1262,1262,31/03/13,Assam,671022,Dealer_1,Mango,Tetra pak,200ml,10,11019,1.45
1265,1265,31/03/13,Assam,671022,Dealer_1,Litchi,plastic,250ml,15,30317,0.83
1266,1266,31/03/13,Assam,671022,Dealer_1,Apple,plastic,250ml,20,21668,1.87
1267,1267,31/03/13,Assam,671022,Dealer_1,Mango,plastic,600ml,35,47421,0.52
1268,1268,31/03/13,Assam,671022,Dealer_1,Mango,plastic,1.2lt,65,43648,0.56
1269,1269,31/03/13,Assam,671022,Dealer_1,Mango,plastic,250ml,15,41040,0.33
1270,1270,31/03/13,Assam,671022,Dealer_1,Lemon,plastic,600ml,20,17496,0.93
1272,1272,31/03/13,Assam,671022,Dealer_1,Lemon,plastic,250ml,10,17492,0.61
1273,1273,31/03/13,Arunanchal,135432,Dealer_2,Apple,plastic,600ml,35,13835,1.24
1274,1274,31/03/13,Arunanchal,135432,Dealer_2,Zeera cola,plastic,200ml,12,11093,2.86
1275,1275,31/03/13,Arunanchal,135432,Dealer_2,Zeera cola,can,300ml,20,12516,0.92
1276,1276,31/03/13,Arunanchal,135432,Dealer_2,Mango,Tetra pak,200ml,10,18877,1.2
1277,1277,31/03/13,Arunanchal,135432,Dealer_2,Club soda,plastic,600ml,20,21043,2.27
1278,1278,31/03/13,Arunanchal,135432,Dealer_2,Litchi,plastic,250ml,15,46648,0.67
1279,1279,31/03/13,Arunanchal,135432,Dealer_2,Litchi,can,200ml,10,56096,0.37
1280,1280,31/03/13,Arunanchal,135432,Dealer_2,Mango,plastic,1.2lt,65,18550,1.36
1281,1281,31/03/13,Arunanchal,135432,Dealer_2,Mango,plastic,250ml,15,47979,0.34
1282,1282,31/03/13,Arunanchal,135432,Dealer_2,Lemon,plastic,600ml,20,26601,0.77
1284,1284,31/03/13,Arunanchal,135432,Dealer_2,Lemon,plastic,250ml,10,23437,0.58
1285,1285,31/03/13,Nagaland,166301,Dealer_6,Apple,plastic,600ml,35,16157,1.43
1286,1286,31/03/13,Nagaland,166301,Dealer_6,Zeera cola,plastic,200ml,12,16927,2.36
1287,1287,31/03/13,Nagaland,166301,Dealer_6,Zeera cola,can,300ml,20,26102,0.65
1288,1288,31/03/13,Nagaland,166301,Dealer_6,Mango,Tetra pak,200ml,10,37147,1.12
1289,1289,31/03/13,Nagaland,166301,Dealer_6,Club soda,plastic,600ml,20,15405,3.18
1291,1291,31/03/13,Nagaland,166301,Dealer_6,Litchi,plastic,250ml,15,33524,0.89
1292,1292,31/03/13,Nagaland,166301,Dealer_6,Apple,plastic,250ml,20,43343,1.31
1293,1293,31/03/13,Nagaland,166301,Dealer_6,Litchi,can,200ml,10,39479,0.56
1294,1294,31/03/13,Nagaland,166301,Dealer_6,Mango,plastic,600ml,35,66019,0.54
